id,username,content
1663696515326517248,The_NewDispatch,"Ukraine Shoots Down 52 Of 54 Iranian Made Drones
https://t.co/JJbdEW1qn5
#Putin #UkraineWar #RussiaUkraineCrisis #Russia #Russian #IranianDrones #RussiaInvadedUkraine #RussiaUkraineWar #UkraineRussianWar #Ukraineupdates #Ukraine #PresidentBiden #Zelenskyy #RussianUkrainianWar https://t.co/kWiKoGsN0d"
1663696124392136705,KabalexChild,"Legion ""Freedom of Russia"" recruits thousands of Russians to attack Moscow - The Times ---#war #UkraineWar 
https://t.co/sv9k4uKEKU"
1663695373485973504,GuardianAus,Russia-Ukraine war at a glance: what we know on day 462 of the invasion https://t.co/1sCzy5hlfq
1663695317819351041,VSNRadio,Russia-Ukraine war at a glance: what we know on day 462 of the invasion #news https://t.co/D0YKO2JV7M
1663694952424169475,tdhoanh,"Drone strikes in capital bring Ukraine war to Russia
It’s unlikely that Moscow can return to its uneasy status quo of life 
Ukraine denied involvement in the attack, even as one top official made it clear that Russia was getting a taste of its own medicine
https://t.co/FInlzrzb48 https://t.co/frqJFXlc8M"
1663693728349933571,LJT_is_me,"Drone Strikes on Moscow Signal Dangerous New Phase of Ukraine War. Plus: One of Russia’s Most Notorious Spies—a Whale—Resurfaces

GLENN GREENWALD | SYSTEM UPDATE #91 
https://t.co/eINEyX672X

https://t.co/YEbSbIVhDl https://t.co/AAju7Lh2uj"
1663676572572811276,ggreenwald,"The drone strikes in Moscow targeted residential buildings.

Ukraine previously blew up a Russian blogger's car, killing his daughter. It exploded a bomb in a St. Petersburg café, killing a journalist, injuring 19.

Is this terrorism? Does the US support this type of targeting? https://t.co/tYIZWv2p80"
1663693021911605250,Diplomat_APAC,"The Russia-Ukraine war is not dissuading Central Asian migrants from heading to Russia, but it is driving more Russians toward Central Asia.  https://t.co/zbuLrEliN7"
1663692798531608577,360mediaX,Russia-Ukraine war at a glance: what we know on day 462 of the invasion https://t.co/Q6EPZLeV8A
1663692153816752131,Defcon1W,"Drone attacks hit Moscow, sparking fury at the Kremlin | Russia-Ukraine war News | Al Jazeera https://t.co/uotTZ4nb5h"
1663692075425222657,norionakatsuji,"“Rare strike on Russian capital unnerves Muscovites who had been told conflict would not threaten them“
[Large-scale drone attack hits Moscow for first time in Ukraine war | Russia | The Guardian] https://t.co/V4XQxUb6dn"
1663690064151609344,CostillaAl,After seeing what kind of damage one Iranian drone did to Apt building in Ukraine. The apt in moscow was hit by a drone that had no explosives. Fixed by tomorrow for sure. #redflag #russia #UkraineWar
1663690046602375170,DaleKalamazad,Russia has issued an arrest warrant for Lindsey Graham after the US senator was caught on tape celebrating the deaths of Russian soldiers in the Ukraine war.
1663689111608123392,AcarrilloMx,@el_dasein @glafferriere Busca también: Sad Reality: The Ukraine War is Now Going Russia’s Way
1663688987993595906,guardian,Russia-Ukraine war at a glance: what we know on day 462 of the invasion https://t.co/ju22rwIPP8
1663688906854785024,ndsshow,"This strategic initiative is a big reason why Ukraine has shocked the world against Russia’s invasion. Story from @Osinttechnical 

Full Podcast Here 🫵 👀Ukraine War: EXPOSING the Russian Military using Publicly Available Information with OSINT Technical
https://t.co/T9ROJwnUe4 https://t.co/yHd0R8JkfX"
1663688714072256512,viveksagrawal,"@gyanjarahatke If we join Nato or any other military alliance, we will have to fight wars which are not ours 

Our current threats will be eliminated or not can be debated, but our soldiers will die because of someone else's goals.

For Example, Our soldiers can die in Russia Ukraine war."
1663688662284992512,bkeithb,".@Judgenap interviews @raymcgovern - Is the #Ukraine war spreading to #Russia?

https://t.co/cq394lQCrE"
1663688630177775617,rogue_corq,Russia-Ukraine war at a glance: what we know on day 462 of the invasion https://t.co/8OE1wUCKa8
1663688597612969984,clilliefelth,@mbk_center @vkaramurza So what is the truth I do not understand other than he is working with the US to subdue russia. Then what is the secret of the ukraine war? Nato expansion and the killing of the russian minorities in eastern ukraine maybe? Please explain
1663688127431729154,ANAnewsglobal,"Drones Strike Moscow Civilian Areas, a First in Russia-Ukraine War: At least eight drones were intercepted, the Kremlin said, but the foray raised questions about Russian air defenses. https://t.co/YJpr3sE4F9"
1663688020019630081,Dragosakaju,"@tam_h_a Honestly, I do think it is more between Russia and Romania for the whole Europe (because of some immigrants and ofc the Ukraine War) but Serbia in Balkans is like 100% sure with Turkey and Albania close to us"
1663687130143657985,OlenaStarynets,"🌻Glory to Ukraine! 🇺🇦Glory to the Heroes!❤️
#WeWillWin,#StandWithUkraine,#Ukraine,#Україна,#UkraineWarNews,#UkraineWar,#ЗСУ,#Bakhmut,#Kyiv 🌻Слава Україні!🇺🇦Героям Слава!❤️
Russia says drones damage Moscow buildings in pre-dawn attack https://t.co/yYwjNCRZIH via @YouTube"
1663687025021841410,8102ops,"Drone attacks hit Moscow, 🤦🏼‍♀️ sparking fury at the Kremlin | Russia-Ukraine war News  https://t.co/jl4anRObI9"
1663686809266851841,starshiptroopr,"Analysis: Drone strikes in capital bring Ukraine war to Russia

https://t.co/epaQeffrHD"
1663686267425398793,dumisanig2,"@Spriter99880 Like they said yesterday, day before yesterday and the other day, finally we believe NATO has nothing to do with Russia and Ukraine war!!!"
1663686187586932736,bmangh,"Ukraine war comes to Russia as Moscow hit by drones

 https://t.co/8pZm0QpnWl"
1663686051498704897,Emily_Kenner_,"Dangers of the Russia-Ukraine war are said to be increasing as the Zaporizhzhya nuclear power plant in Ukraine has come under fire on 7 occasions. There is now a risk of the plant exploding as fighting continues to ensue around it. #tocbond
https://t.co/xXG60tNZQ9"
1663685882355027968,Viper_Olga,"Drones Strike Moscow Civilian Areas, a First in Russia-Ukraine War https://t.co/VUS1whNBbM https://t.co/NIAMeUfnno"
1663685693007118337,mazzenilsson,"Ukraine could join ranks of ‘frozen’ conflicts, U.S. officials say. U.S. officials stress that they are trying to avoid black-and-white thinking as they map out the ways the Russia-Ukraine war can go. It’s possible, after all, that the conflict will wind up somewhere in between an active war and a chilled standoff.

https://t.co/MIr9G8hJLO"
1663685645368442881,A4t3TjUV,"@loveyassy #ガンバレ記者クラブ
記者クラブの皆さまお考えのところを語りませんか。
#Greenwald
Drone Strikes on Moscow Signal Dangerous New Phase of Ukraine War. Plus: One of Russia’s Most Notorious Spies—a Whale—Resurfaces | SYSTEM UPDATE #91 https://t.co/OUW9hZt4CH"
1663685228408500225,fibladifr,RUSSIA – UKRAINE: WAR EXPANDS TO OPEN DRONE ATTACKS https://t.co/nSbYwSJVR4
1663684227647569921,vkgavg,@Sackdannyandrew 2. Putin poses a threat to the Great Reset (GR). The global cabal wants him out. Tucker Carlson: Ukraine War mission creep being used to get Putin. A peace treaty between Russia &amp; Ukraine was on the verge of being signed but was scuttled by GR interests. https://t.co/hEzydfrUrF
1663682237467086848,borntoraisehogs,"Up soon
Drone Strikes on Moscow Signal Dangerous New Phase of Ukraine War. Plus: One of Russia’s Most Notorious Spies—a Whale—Resurfaces | SYSTEM UPDATE #91 https://t.co/IR6faFrFbY"
1663682081380073473,citidotio,Peace in #Ukraine doesn’t ultimately depend on Putin or Zelensky – it’s the Ukrainian people who must decide https://t.co/S6Tu3IqDME #UkraineRussiaWar #Russia #VladimirPutin #UkraineWar #VolodymyrZelensky
1663681344646402050,EuroIdentity1,"@PoliticsPollss Russia Ukraine war, lockdowns and the net zero BS"
1663680863757041669,Y_Mukai,Analysis: Drone strikes in capital bring Ukraine war to Russia. https://t.co/JL2ssDRdt6
1663680658814775298,ganly_patrick,"@Lone_Wolf_McQ @Naughtylilprin2 @eywind @jlsinna @ClownWorld_ If NATO was disbanded the Ukraine war would end tomorrow. To find the 
truth about China and Russia you should Seek out on YouTube Professor John Meirsheimer and Colonel Douglas McGregor. Their bios can be found on Wikipedia."
1663680526044082177,AdikeNelso3890,@daily_trust The place where you people are borrowing this money from didn't they witness COVID or is Russia &amp; Ukraine war happening in our country?
1663679904062521346,Brianjnolin1,@WhiteHouse So. Now I Will Make Advice For NATO In The Russia Ukraine War. Assisting Ukraine. Of Actions To Make Against Russia's Military. See.
1663678827917189127,DavidAFoot,"Ukraine Invasion: Update for today from the Independent covering a small attacks on Moscow and large terrorist attack on cvilians in Kyiv + other actions today
Russia-Ukraine war – live: Putin responds after Moscow hit with drone attack https://t.co/LI7aMrXVkN via @yahooNewsUK"
1663678769607979009,Anna72015377,Poland have experience after World War II and don’t trust anyone 🤷🏻‍♀️they not stupid they got experience with EU diplomacy and NATO tricks and how to deal with Russia diplomatically; good luck.. with trying to make them pro EU lol even Russian Ukraine war did not convinced them
1663474108061962240,notesfrompoland,"The US and EU have expressed concern over Poland's new commission to investigate Russian influence, which can ban individuals from public office.

The US says it could be ""misused to interfere with elections"" by ""blocking opposition politicians' candidacy"" https://t.co/1MGt53XXWT"
1663677888980455424,jacksonhinklle,"The groups funded by Singham have publicly attacked me, @InfraHaz, and many of our allies over the past year due to our conflicting positions on cultural issues, COVID, Russia-Ukraine war, US patriotism, Trump &amp; more.

They are also all front groups for @pslnational https://t.co/K3dLaDXYC0"
1663677359638052864,sargos66,"Drone strikes in capital bring Ukraine war to Russia (Welcome to the ""Special Capital Operation"" ... in  Moscow)

https://t.co/cz1YuJDgaX"
1663676828035473408,AfiFlysky,"@OSO_Arash @ZelenskyyUa #Russia is our common enemy, #Iran 's Islamic regime is Russia's servant and puppet

#KingRezaPahlavi 
#Ukraine 
#UkraineWar"
